08-05-2020 00:32:30.0700|INFO |A new store 'Hammes LLC' was opened in the system, gussie.kassulke is the owner
08-05-2020 00:32:30.0764|INFO |store: Jacobs LLC of the owner luisa.murazik
08-05-2020 00:32:30.0765|INFO |added a new owned OR managed store 'Jacobs LLC' to the user 'luisa.murazik'
08-05-2020 00:32:30.0765|INFO |A new store 'Jacobs LLC' was opened in the system, luisa.murazik is the owner
08-05-2020 00:32:30.0818|INFO |store: Kub and Sons of the owner alexis.funk
08-05-2020 00:32:30.0818|INFO |added a new owned OR managed store 'Kub and Sons' to the user 'alexis.funk'
08-05-2020 00:32:30.0818|INFO |A new store 'Kub and Sons' was opened in the system, alexis.funk is the owner
08-05-2020 00:32:30.0873|INFO |store: Corwin-Corwin of the owner alexis.funk
08-05-2020 00:32:30.0873|INFO |added a new owned OR managed store 'Corwin-Corwin' to the user 'alexis.funk'
08-05-2020 00:32:30.0873|INFO |A new store 'Corwin-Corwin' was opened in the system, alexis.funk is the owner
08-05-2020 00:32:30.0924|INFO |The product: For a Breath I Tarry added to the store: Hammes LLC
08-05-2020 00:32:30.0971|INFO |The product: Dance Dance Dance added to the store: Hammes LLC
08-05-2020 00:32:31.0021|INFO |The product: The Needle's Eye added to the store: Hammes LLC
08-05-2020 00:32:31.0094|INFO |The product: As I Lay Dying added to the store: Hammes LLC
08-05-2020 00:32:31.0145|INFO |The product: Vanity Fair added to the store: Hammes LLC
08-05-2020 00:32:31.0190|INFO |The product: No Country for Old Men added to the store: Hammes LLC
08-05-2020 00:32:31.0234|INFO |The product: Vanity Fair added to the store: Hammes LLC
08-05-2020 00:32:31.0281|INFO |The product: Shall not Perish added to the store: Hammes LLC
08-05-2020 00:32:31.0325|INFO |The product: Recalled to Life added to the store: Hammes LLC
08-05-2020 00:32:31.0361|INFO |The product: A Confederacy of Dunces added to the store: Hammes LLC
08-05-2020 00:32:31.0402|INFO |The product: If I Forget Thee Jerusalem added to the store: Schulist, Schulist and Schulist
08-05-2020 00:32:31.0442|INFO |The product: The Yellow Meads of Asphodel added to the store: Schulist, Schulist and Schulist
08-05-2020 00:32:31.0482|INFO |The product: By Grand Central Station I Sat Down and Wept added to the store: Schulist, Schulist and Schulist
08-05-2020 00:32:31.0528|INFO |The product: The Mermaids Singing added to the store: Schulist, Schulist and Schulist
08-05-2020 00:32:31.0577|INFO |The product: Rosemary Sutcliff added to the store: Schulist, Schulist and Schulist
08-05-2020 00:32:31.0667|INFO |The product: Where Angels Fear to Tread added to the store: Schulist, Schulist and Schulist
08-05-2020 00:32:31.0744|INFO |The product: A Swiftly Tilting Planet added to the store: Schulist, Schulist and Schulist
08-05-2020 00:32:31.0791|INFO |The product: Blithe Spirit added to the store: Schulist, Schulist and Schulist
08-05-2020 00:32:31.0834|INFO |The product: O Jerusalem! added to the store: Schulist, Schulist and Schulist
08-05-2020 00:32:31.0876|INFO |The product: The Wealth of Nations added to the store: Schulist, Schulist and Schulist
08-05-2020 00:32:31.0912|INFO |The product: Mr Standfast added to the store: Purdy, Purdy and Purdy
08-05-2020 00:32:31.0943|INFO |The product: The Sun Also Rises added to the store: Purdy, Purdy and Purdy
08-05-2020 00:32:31.0978|INFO |The product: That Hideous Strength added to the store: Purdy, Purdy and Purdy
08-05-2020 00:32:32.0011|INFO |The product: This Side of Paradise added to the store: Purdy, Purdy and Purdy
08-05-2020 00:32:32.0042|INFO |The product: Time To Murder And Create added to the store: Purdy, Purdy and Purdy
08-05-2020 00:32:32.0069|INFO |The product: Blithe Spirit added to the store: Purdy, Purdy and Purdy
08-05-2020 00:32:32.0106|INFO |The product: In a Glass Darkly added to the store: Purdy, Purdy and Purdy
08-05-2020 00:32:32.0136|INFO |The product: Such, Such Were the Joys added to the store: Purdy, Purdy and Purdy
08-05-2020 00:32:32.0191|INFO |The product: Nectar in a Sieve added to the store: Purdy, Purdy and Purdy
08-05-2020 00:32:32.0227|INFO |The product: The Torment of Others added to the store: Purdy, Purdy and Purdy
08-05-2020 00:32:32.0262|INFO |The product: The Little Foxes added to the store: Satterfield LLC
08-05-2020 00:32:32.0294|INFO |The product: To Say Nothing of the Dog added to the store: Satterfield LLC
08-05-2020 00:32:32.0327|INFO |The product: A Passage to India added to the store: Satterfield LLC
08-05-2020 00:32:32.0363|INFO |The product: Sleep the Brave added to the store: Satterfield LLC
08-05-2020 00:32:32.0400|INFO |The product: Terrible Swift Sword added to the store: Satterfield LLC
08-05-2020 00:32:32.0428|INFO |The product: A Summer Bird-Cage added to the store: Satterfield LLC
08-05-2020 00:32:32.0466|INFO |The product: From Here to Eternity added to the store: Satterfield LLC
08-05-2020 00:32:32.0491|INFO |The product: Frequent Hearses added to the store: Satterfield LLC
08-05-2020 00:32:32.0521|INFO |The product: The Widening Gyre added to the store: Satterfield LLC
